date,location,hits,keyword,geo,gprop
2021-06-01 2021-07-01,Yamalo-Nenets Autonomous Okrug,,навальный отравление,RU,web
2021-06-01 2021-07-01,Yaroslavl Oblast,,навальный отравление,RU,web
2021-06-01 2021-07-01,Jewish Autonomous Oblast,,навальный отравление,RU,web
2021-06-01 2021-07-01,Zabaykalsky Krai,,навальный отравление,RU,web
2021-07-01 2021-08-01,Saint Petersburg,100,навальный отравление,RU,web
2021-07-01 2021-08-01,Moscow,48,навальный отравление,RU,web
2021-07-01 2021-08-01,Adygea,,навальный отравление,RU,web
2021-07-01 2021-08-01,Altai Republic,,навальный отравление,RU,web
2021-07-01 2021-08-01,Altai Krai,,навальный отравление,RU,web
2021-07-01 2021-08-01,Amur Oblast,,навальный отравление,RU,web
2021-07-01 2021-08-01,Arkhangelsk Oblast,,навальный отравление,RU,web
2021-07-01 2021-08-01,Astrakhan Oblast,,навальный отравление,RU,web
2021-07-01 2021-08-01,Republic of Bashkortostan,,навальный отравление,RU,web
2021-07-01 2021-08-01,Belgorod Oblast,,навальный отравление,RU,web
2021-07-01 2021-08-01,Bryansk Oblast,,навальный отравление,RU,web
2021-07-01 2021-08-01,Buryatia,,навальный отравление,RU,web
2021-07-01 2021-08-01,Chechnya,,навальный отравление,RU,web
2021-07-01 2021-08-01,Chelyabinsk Oblast,,навальный отравление,RU,web
2021-07-01 2021-08-01,Chukotka Autonomous Okrug,,навальный отравление,RU,web
2021-07-01 2021-08-01,Chuvashia Republic,,навальный отравление,RU,web
2021-07-01 2021-08-01,Dagestan Republic,,навальный отравление,RU,web
2021-07-01 2021-08-01,Ingushetia,,навальный отравление,RU,web
2021-07-01 2021-08-01,Irkutsk Oblast,,навальный отравление,RU,web
2021-07-01 2021-08-01,Ivanovo Oblast,,навальный отравление,RU,web
2021-07-01 2021-08-01,Kamchatka Krai,,навальный отравление,RU,web
2021-07-01 2021-08-01,Kabardino-Balkaria,,навальный отравление,RU,web
2021-07-01 2021-08-01,Karachay-Cherkessia,,навальный отравление,RU,web
2021-07-01 2021-08-01,Krasnodar Krai,,навальный отравление,RU,web
2021-07-01 2021-08-01,Kemerovo Oblast,,навальный отравление,RU,web
2021-07-01 2021-08-01,Kaliningrad Oblast,,навальный отравление,RU,web
2021-07-01 2021-08-01,Kurgan Oblast,,навальный отравление,RU,web
2021-07-01 2021-08-01,Khabarovsk Krai,,навальный отравление,RU,web
2021-07-01 2021-08-01,Khanty-Mansi Autonomous Okrug,,навальный отравление,RU,web
2021-07-01 2021-08-01,Kirov Oblast,,навальный отравление,RU,web
2021-07-01 2021-08-01,Republic of Khakassia,,навальный отравление,RU,web
2021-07-01 2021-08-01,Kalmykia,,навальный отравление,RU,web
2021-07-01 2021-08-01,Kaluga Oblast,,навальный отравление,RU,web
2021-07-01 2021-08-01,Komi Republic,,навальный отравление,RU,web
2021-07-01 2021-08-01,Kostroma Oblast,,навальный отравление,RU,web
2021-07-01 2021-08-01,Republic of Karelia,,навальный отравление,RU,web
2021-07-01 2021-08-01,Kursk Oblast,,навальный отравление,RU,web
2021-07-01 2021-08-01,Krasnoyarsk Krai,,навальный отравление,RU,web
2021-07-01 2021-08-01,Leningrad Oblast,,навальный отравление,RU,web
2021-07-01 2021-08-01,Lipetsk Oblast,,навальный отравление,RU,web
2021-07-01 2021-08-01,Magadan Oblast,,навальный отравление,RU,web
2021-07-01 2021-08-01,Mari El Republic,,навальный отравление,RU,web
2021-07-01 2021-08-01,Mordovia,,навальный отравление,RU,web
2021-07-01 2021-08-01,Moscow Oblast,,навальный отравление,RU,web
2021-07-01 2021-08-01,Murmansk Oblast,,навальный отравление,RU,web
2021-07-01 2021-08-01,Nenets Autonomous Okrug,,навальный отравление,RU,web
2021-07-01 2021-08-01,Novgorod Oblast,,навальный отравление,RU,web
2021-07-01 2021-08-01,Nizhny Novgorod Oblast,,навальный отравление,RU,web
2021-07-01 2021-08-01,Novosibirsk Oblast,,навальный отравление,RU,web
2021-07-01 2021-08-01,Omsk Oblast,,навальный отравление,RU,web
2021-07-01 2021-08-01,Orenburg Oblast,,навальный отравление,RU,web
2021-07-01 2021-08-01,Oryol Oblast,,навальный отравление,RU,web
2021-07-01 2021-08-01,Perm Krai,,навальный отравление,RU,web
2021-07-01 2021-08-01,Penza Oblast,,навальный отравление,RU,web
2021-07-01 2021-08-01,Primorsky Krai,,навальный отравление,RU,web
2021-07-01 2021-08-01,Pskov Oblast,,навальный отравление,RU,web
2021-07-01 2021-08-01,Rostov Oblast,,навальный отравление,RU,web
2021-07-01 2021-08-01,Ryazan Oblast,,навальный отравление,RU,web
2021-07-01 2021-08-01,Sakha Republic,,навальный отравление,RU,web
2021-07-01 2021-08-01,Sakhalin Oblast,,навальный отравление,RU,web
2021-07-01 2021-08-01,Samara Oblast,,навальный отравление,RU,web
2021-07-01 2021-08-01,Saratov Oblast,,навальный отравление,RU,web
2021-07-01 2021-08-01,North Ossetia–Alania,,навальный отравление,RU,web
2021-07-01 2021-08-01,Smolensk Oblast,,навальный отравление,RU,web
2021-07-01 2021-08-01,Stavropol Krai,,навальный отравление,RU,web
2021-07-01 2021-08-01,Sverdlovsk Oblast,,навальный отравление,RU,web
2021-07-01 2021-08-01,Tatarstan,,навальный отравление,RU,web
2021-07-01 2021-08-01,Tambov Oblast,,навальный отравление,RU,web
2021-07-01 2021-08-01,Tomsk Oblast,,навальный отравление,RU,web
2021-07-01 2021-08-01,Tula Oblast,,навальный отравление,RU,web
2021-07-01 2021-08-01,Tver Oblast,,навальный отравление,RU,web
2021-07-01 2021-08-01,Tuva,,навальный отравление,RU,web
2021-07-01 2021-08-01,Tyumen Oblast,,навальный отравление,RU,web
2021-07-01 2021-08-01,Udmurt Republic,,навальный отравление,RU,web
2021-07-01 2021-08-01,Ulyanovsk Oblast,,навальный отравление,RU,web
2021-07-01 2021-08-01,Volgograd Oblast,,навальный отравление,RU,web
2021-07-01 2021-08-01,Vladimir Oblast,,навальный отравление,RU,web
2021-07-01 2021-08-01,Vologda Oblast,,навальный отравление,RU,web
2021-07-01 2021-08-01,Voronezh Oblast,,навальный отравление,RU,web
2021-07-01 2021-08-01,Yamalo-Nenets Autonomous Okrug,,навальный отравление,RU,web
2021-07-01 2021-08-01,Yaroslavl Oblast,,навальный отравление,RU,web
2021-07-01 2021-08-01,Jewish Autonomous Oblast,,навальный отравление,RU,web
2021-07-01 2021-08-01,Zabaykalsky Krai,,навальный отравление,RU,web
2021-08-01 2021-09-01,Adygea,,навальный отравление,RU,web
2021-08-01 2021-09-01,Altai Republic,,навальный отравление,RU,web
2021-08-01 2021-09-01,Altai Krai,,навальный отравление,RU,web
2021-08-01 2021-09-01,Amur Oblast,,навальный отравление,RU,web
2021-08-01 2021-09-01,Arkhangelsk Oblast,,навальный отравление,RU,web
2021-08-01 2021-09-01,Astrakhan Oblast,,навальный отравление,RU,web
2021-08-01 2021-09-01,Republic of Bashkortostan,,навальный отравление,RU,web
2021-08-01 2021-09-01,Belgorod Oblast,,навальный отравление,RU,web
2021-08-01 2021-09-01,Bryansk Oblast,,навальный отравление,RU,web
2021-08-01 2021-09-01,Buryatia,,навальный отравление,RU,web
2021-08-01 2021-09-01,Chechnya,,навальный отравление,RU,web
2021-08-01 2021-09-01,Chelyabinsk Oblast,,навальный отравление,RU,web
2021-08-01 2021-09-01,Chukotka Autonomous Okrug,,навальный отравление,RU,web
2021-08-01 2021-09-01,Chuvashia Republic,,навальный отравление,RU,web
2021-08-01 2021-09-01,Dagestan Republic,,навальный отравление,RU,web
2021-08-01 2021-09-01,Ingushetia,,навальный отравление,RU,web
2021-08-01 2021-09-01,Irkutsk Oblast,,навальный отравление,RU,web
2021-08-01 2021-09-01,Ivanovo Oblast,,навальный отравление,RU,web
2021-08-01 2021-09-01,Kamchatka Krai,,навальный отравление,RU,web
2021-08-01 2021-09-01,Kabardino-Balkaria,,навальный отравление,RU,web
2021-08-01 2021-09-01,Karachay-Cherkessia,,навальный отравление,RU,web
2021-08-01 2021-09-01,Krasnodar Krai,,навальный отравление,RU,web
2021-08-01 2021-09-01,Kemerovo Oblast,,навальный отравление,RU,web
2021-08-01 2021-09-01,Kaliningrad Oblast,,навальный отравление,RU,web
2021-08-01 2021-09-01,Kurgan Oblast,,навальный отравление,RU,web
2021-08-01 2021-09-01,Khabarovsk Krai,,навальный отравление,RU,web
2021-08-01 2021-09-01,Khanty-Mansi Autonomous Okrug,,навальный отравление,RU,web
2021-08-01 2021-09-01,Kirov Oblast,,навальный отравление,RU,web
2021-08-01 2021-09-01,Republic of Khakassia,,навальный отравление,RU,web
2021-08-01 2021-09-01,Kalmykia,,навальный отравление,RU,web
2021-08-01 2021-09-01,Kaluga Oblast,,навальный отравление,RU,web
2021-08-01 2021-09-01,Komi Republic,,навальный отравление,RU,web
2021-08-01 2021-09-01,Kostroma Oblast,,навальный отравление,RU,web
2021-08-01 2021-09-01,Republic of Karelia,,навальный отравление,RU,web
2021-08-01 2021-09-01,Kursk Oblast,,навальный отравление,RU,web
2021-08-01 2021-09-01,Krasnoyarsk Krai,,навальный отравление,RU,web
2021-08-01 2021-09-01,Leningrad Oblast,,навальный отравление,RU,web
2021-08-01 2021-09-01,Lipetsk Oblast,,навальный отравление,RU,web
2021-08-01 2021-09-01,Magadan Oblast,,навальный отравление,RU,web
2021-08-01 2021-09-01,Mari El Republic,,навальный отравление,RU,web
2021-08-01 2021-09-01,Mordovia,,навальный отравление,RU,web
2021-08-01 2021-09-01,Moscow Oblast,,навальный отравление,RU,web
2021-08-01 2021-09-01,Moscow,,навальный отравление,RU,web
2021-08-01 2021-09-01,Murmansk Oblast,,навальный отравление,RU,web
2021-08-01 2021-09-01,Nenets Autonomous Okrug,,навальный отравление,RU,web
2021-08-01 2021-09-01,Novgorod Oblast,,навальный отравление,RU,web
2021-08-01 2021-09-01,Nizhny Novgorod Oblast,,навальный отравление,RU,web
2021-08-01 2021-09-01,Novosibirsk Oblast,,навальный отравление,RU,web
2021-08-01 2021-09-01,Omsk Oblast,,навальный отравление,RU,web
2021-08-01 2021-09-01,Orenburg Oblast,,навальный отравление,RU,web
2021-08-01 2021-09-01,Oryol Oblast,,навальный отравление,RU,web
2021-08-01 2021-09-01,Perm Krai,,навальный отравление,RU,web
2021-08-01 2021-09-01,Penza Oblast,,навальный отравление,RU,web
2021-08-01 2021-09-01,Primorsky Krai,,навальный отравление,RU,web
2021-08-01 2021-09-01,Pskov Oblast,,навальный отравление,RU,web
2021-08-01 2021-09-01,Rostov Oblast,,навальный отравление,RU,web
2021-08-01 2021-09-01,Ryazan Oblast,,навальный отравление,RU,web
2021-08-01 2021-09-01,Sakha Republic,,навальный отравление,RU,web
2021-08-01 2021-09-01,Sakhalin Oblast,,навальный отравление,RU,web
